Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor,codigo_x,nombre_x,codigo_y,nombre_y
409285000,11500,509695,QUI,Hoevel4548y4558,7,4.0,384.0,732.0,3.0,11700213,,QUI,QUI,QUI,Quinta Normal
105000000,2950,130760,PED,Rucalhue,2,1.0,112.0,145.0,1.0,10894299,Legales y Propiedades SpA,PED,PED,PED,Pedro Aguirre Cerda
128124000,3600,159557,EST,AvenidaLasParcelas,3,1.0,59.0,243.0,2.0,10257635,Propiedadesrs,EST,EST,EST,Estación Central
75000000,2107,93400,COL,PasajeGonzaloRojas,3,1.0,103.0,73.0,1.0,9232092,Patricio Gajardo propiedades,COL,COL,COL,Colina
53000000,1489,66002,COL,HernánDíazArrieta2820,2,1.0,57.0,67.0,1.0,7085397,Patricio Gajardo propiedades,COL,COL,COL,Colina
94000000,2641,117061,EST,Avenida5deAbril,2,1.0,72.0,131.0,,7586371,Patricio Gajardo propiedades,EST,EST,EST,Estación Central
75000000,2107,93400,COL,GabrielaMistral/PabloNeruda,3,1.0,70.0,80.0,2.0,11688480,Patricio Gajardo propiedades,COL,COL,COL,Colina
105000000,2950,130760,LAF,SanCristóbalTres,2,1.0,50.0,120.0,1.0,12229303,Gesinprop Gestión Inmobiliaria,LAF,LAF,LAF,La Florida
76000000,2135,94645,MAI,PasajeJosédeMoraleda,3,1.0,72.0,72.0,1.0,12223374,Gesinprop Gestión Inmobiliaria,MAI,MAI,MAI,Maipú
76000000,2135,94645,MAI,Matías,3,1.0,46.0,90.0,1.0,12221068,Gesinprop Gestión Inmobiliaria,MAI,MAI,MAI,Maipú
90000000,2529,112080,MAI,LasTinajas&QuintaVergara,3,1.0,100.0,134.0,3.0,12188657,Gesinprop Gestión Inmobiliaria,MAI,MAI,MAI,Maipú
75000000,2107,93400,SAN,ValledelAconcagua,3,2.0,50.0,88.0,1.0,12187463,Gesinprop Gestión Inmobiliaria,SAN,SAN,SAN,Santiago
153037000,4300,190582,MAI,Merlin,3,2.0,98.0,130.0,2.0,12187364,Gesinprop Gestión Inmobiliaria,MAI,MAI,MAI,Maipú
132000000,3709,164384,QUI,SalvadorGutiérrez&Jujuy,4,1.0,69.0,200.0,2.0,8493024,Paula Vivanco Arenas,QUI,QUI,QUI,Quinta Normal
199000000,5591,247821,SAN,Cuevas,7,3.0,162.0,185.0,,12155606,Todo Propiedades,SAN,SAN,SAN,Santiago
79000000,2220,98381,PUE,PasajeLagoBertrand,2,1.0,,,2.0,12149041,Fe Propiedades Spa,PUE,PUE,PUE,Puente Alto
373695000,10500,465374,LAF,JoséMiguelCarrera,7,3.0,173.0,850.0,3.0,7850911,,LAF,LAF,LAF,La Florida
480000000,13487,597758,LAF,Altomacul,5,6.0,240.0,600.0,2.0,6474890,Inmobiliaria Barrio Nuevo SpA,LAF,LAF,LAF,La Florida
142000000,3990,176837,SAN,Sandaniel,3,2.0,100.0,163.0,2.0,12065162,,SAN,SAN,SAN,Santiago
295397000,8300,367867,LAF,CaminodelaNaturaleza,3,3.0,105.0,280.0,2.0,10765504,Ecorredores Gestion Inmobiliaria,LAF,LAF,LAF,La Florida
391490000,11000,487534,LAF,Cam.LasCumbres6790,5,3.0,150.0,400.0,2.0,10105612,Ecorredores Gestion Inmobiliaria,LAF,LAF,LAF,La Florida
1210060000,34000,1506924,LAS,Laforesta,5,5.0,360.0,1150.0,4.0,10080545,,LAS,LAS,LAS,Las Condes
160155000,4500,199446,LAM,AvenidaLaMontañaSur4149,3,3.0,80.0,156.0,2.0,8677005,Behouse,LAM,LAM,LAM,Lampa
129903500,3650,161773,LAM,AvenidaLaHacienda,3,2.0,68.0,221.0,1.0,7850612,Behouse,LAM,LAM,LAM,Lampa
75000000,2107,93400,QUI,Riocachapoal,2,2.0,70.0,78.0,,11426067,Propital,QUI,QUI,QUI,Quinta Normal
50000000,1405,62267,PUE,CerroParedones,3,1.0,31.0,73.0,,11988681,Cgs Corretaje Inmobiliario Spa,PUE,PUE,PUE,Puente Alto
175000000,4917,217933,SAN,RíoTrancura,3,3.0,94.0,191.0,4.0,11840169,,SAN,SAN,SAN,Santiago
150000000,4215,186800,QUI,NuevaImperial,2,1.0,96.0,247.0,1.0,11933894,Cgs Corretaje Inmobiliario Spa,QUI,QUI,QUI,Quinta Normal
160000000,4496,199253,SAN,AltoJahuel,3,2.0,91.0,268.0,2.0,11915330,Legales y Propiedades SpA,SAN,SAN,SAN,Santiago
75000000,2107,93400,PUE,TocornalExPedroDuarte,3,1.0,,87.0,1.0,6775287,Legales y Propiedades SpA,PUE,PUE,PUE,Puente Alto
85000000,2388,105853,PUE,Maullín,5,2.0,,105.0,1.0,6776151,Legales y Propiedades SpA,PUE,PUE,PUE,Puente Alto
75000000,2107,93400,LAP,VioletaParra,3,1.0,62.0,88.0,1.0,9449460,Legales y Propiedades SpA,LAP,LAP,LAP,La Pintana
75000000,2107,93400,LAP,PoetaRamóndelValle,3,2.0,90.0,80.0,1.0,9630711,Legales y Propiedades SpA,LAP,LAP,LAP,La Pintana
290000000,8148,361146,PUE,Noruega/Eyzaguirre,5,3.0,,286.0,2.0,8298437,Legales y Propiedades SpA,PUE,PUE,PUE,Puente Alto
160000000,4496,199253,PUE,Colombia,5,2.0,165.0,315.0,1.0,9881681,Legales y Propiedades SpA,PUE,PUE,PUE,Puente Alto
302728540,8506,376997,PUE,LaParroquia,2,1.0,83.0,1000.0,4.0,10930652,Legales y Propiedades SpA,PUE,PUE,PUE,Puente Alto
225000000,6322,280199,SAN,FranciscoPizarro2041,7,2.0,,572.0,,11903993,,SAN,SAN,SAN,Santiago
140000000,3934,174346,REN,Montevideo,5,3.0,,120.0,2.0,11903216,,REN,REN,REN,Renca
266925000,7500,332410,QUI,TadeoVargas,4,3.0,198.0,354.0,1.0,11588945,,QUI,QUI,QUI,Quinta Normal
180000000,5058,224159,SAN,Vichuquén,3,2.0,79.0,114.0,,11791851,Corredora Fuentes Propiedades,SAN,SAN,SAN,Santiago
120000000,3372,149440,SAN,LebuOriente,4,1.0,131.0,138.0,2.0,11841421,,SAN,SAN,SAN,Santiago
239000000,6715,297634,SAN,Avenida10deJulioHuamachuco,5,4.0,250.0,190.0,1.0,7756750,Todo Propiedades,SAN,SAN,SAN,Santiago
444519100,12490,553573,HUE,SantaMartadeHuechuraba,5,5.0,156.0,530.0,4.0,11831081,Giordano Propiedades,HUE,HUE,HUE,Huechuraba
125000000,3512,155666,MAI,DaríoPobleteNúñez,3,2.0,80.0,100.0,2.0,11607101,dalet propiedades,MAI,MAI,MAI,Maipú
65129700,1830,81108,SAN,Sta.Ines3481,3,1.0,52.0,75.0,1.0,11824596,Rodrigo Cañas de la Cerda Propiedades,SAN,SAN,SAN,Santiago
115000000,3231,143213,MAI,Aracari389,3,1.0,76.0,120.0,2.0,11786572,Silvana Guillen Propiedades,MAI,MAI,MAI,Maipú
261586500,7350,325762,SAN,BartoloSoto,3,3.0,113.0,130.0,1.0,7971519,Good Property,SAN,SAN,SAN,Santiago
266569100,7490,331967,ÑUÑ,Av.JoséPedroAlessandri1625,4,3.0,109.0,119.0,1.0,7971620,Good Property,ÑUÑ,ÑUÑ,ÑUÑ,Ñuñoa
160000000,4496,199253,LAF,LosGeranios70,3,1.0,84.0,200.0,2.0,11013162,,LAF,LAF,LAF,La Florida
160155000,4500,199446,LAM,Lamontañasur,3,2.0,88.0,158.0,3.0,11788723,Peralta Propiedades SpA,LAM,LAM,LAM,Lampa
259807000,7300,323545,SAN,QuintaAvenida,5,2.0,200.0,300.0,3.0,11750010,Giordano Propiedades,SAN,SAN,SAN,Santiago
115000000,3231,143213,LAG,VillalosPensamientos,3,2.0,61.0,163.0,2.0,9694714,,LAG,LAG,LAG,La Granja
282940500,7950,352354,PUD,AvenidaLasFlores,3,3.0,145.0,454.0,2.0,6059114,Tzanis Propiedades,PUD,PUD,PUD,Pudahuel
140580500,3950,175069,MAI,PasajeSantaNidia,4,3.0,160.0,162.0,2.0,10500128,Gesinprop Gestión Inmobiliaria,MAI,MAI,MAI,Maipú
121000000,3400,150685,MAI,Ptovelero,3,2.0,100.0,136.0,1.0,10733354,Gesinprop Gestión Inmobiliaria,MAI,MAI,MAI,Maipú
